               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03601,              0.0179,            0.015569,             0.12107,             0.78764,              0.1859,             0.13186,            0.025583,            0.004351,           0.0063896,              0.0739,              0.0029,              0.0029
                   1,            0.039311,            0.016804,            0.015248,             0.11659,             0.62724,             0.16063,             0.09446,             0.04075,           0.0040732,           0.0084154,            0.046511,           0.0055106,           0.0055106
                   2,            0.042003,            0.016636,            0.013084,             0.11981,             0.69626,              0.1701,            0.086647,            0.050921,            0.004259,           0.0068979,            0.018725,           0.0077252,           0.0077252
                   3,            0.046981,            0.016578,            0.013145,             0.16691,             0.56078,             0.19724,             0.11637,            0.034006,           0.0045007,           0.0061058,             0.00802,             0.00802,             0.00802
                   4,            0.041676,            0.016875,            0.012854,               0.185,             0.59053,             0.19809,             0.13281,            0.033197,           0.0049283,           0.0062346,             0.00802,             0.00802,             0.00802
                   5,            0.041556,            0.017298,            0.010159,             0.16883,              0.5647,              0.2026,             0.12254,            0.031864,           0.0048913,           0.0061743,             0.00736,             0.00736,             0.00736
                   6,            0.036402,            0.016388,           0.0098444,             0.12847,             0.52717,             0.18509,             0.11934,            0.029403,           0.0054026,            0.003503,              0.0067,              0.0067,              0.0067
                   7,            0.035679,            0.017056,            0.011111,             0.10426,             0.71264,             0.17685,             0.10774,            0.030793,           0.0045912,           0.0041544,             0.00604,             0.00604,             0.00604
                   8,            0.033891,            0.017224,           0.0073664,             0.15344,             0.57437,             0.17302,             0.11467,            0.028431,           0.0047841,            0.010896,             0.00538,             0.00538,             0.00538
                   9,             0.03215,            0.016916,            0.007981,             0.13974,             0.74506,             0.19077,              0.1394,            0.023992,           0.0049269,           0.0036623,             0.00472,             0.00472,             0.00472
                  10,            0.032926,            0.017594,           0.0074464,             0.15324,             0.80503,             0.20699,             0.13629,             0.02638,           0.0050285,           0.0022886,             0.00406,             0.00406,             0.00406
                  11,            0.029781,            0.016216,           0.0070039,             0.18728,             0.51495,             0.21101,             0.15561,            0.024128,            0.004346,           0.0024773,              0.0034,              0.0034,              0.0034
                  12,            0.028188,            0.015263,           0.0053617,             0.16491,             0.72613,             0.17936,             0.13332,            0.020826,           0.0047571,           0.0037519,             0.00274,             0.00274,             0.00274
                  13,            0.026447,            0.015238,           0.0065049,             0.15896,             0.82228,             0.24016,             0.18943,            0.019527,           0.0051037,            0.001866,             0.00208,             0.00208,             0.00208
                  14,            0.026308,            0.015984,           0.0051496,             0.16495,             0.86024,             0.22902,             0.17565,            0.020004,           0.0047527,           0.0012536,             0.00142,             0.00142,             0.00142
